Author	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
J. Kröner	https://www.dbnl.org/auteurs/auteur.php?id=kron011	kron011	J.	Kröner	J. Kröner	1920-xx-xx			1997-xx-xx			male	vertaler	Twintigste Eeuw		nonfictie		vertaler	4.0	4.0
Robert Melville	https://www.dbnl.org/auteurs/auteur.php?id=melv005	melv005	Robert	Melville	Robert Melville	19xx-xx-xx		Groot-Brittannië (en Noord-Ierland)				male		Twintigste Eeuw		nonfictie/buitenland				
Marius Flothuis	https://www.dbnl.org/auteurs/auteur.php?id=flot001	flot001	Marius Hendrikus	Flothuis	Marius Flothuis	1914-10-30	Amsterdam	Nederland	2001-11-13	Amsterdam	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw		nonfictie		speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
C. Nicolaï	https://www.dbnl.org/auteurs/auteur.php?id=nico014	nico014	Constans	Nicolaï	C. Nicolaï	1918-xx-xx			2000-xx-xx			male		Twintigste Eeuw		nonfictie				
Charles Boost	https://www.dbnl.org/auteurs/auteur.php?id=boos003	boos003	Charles Henri Joseph	Boost	Charles Boost/Wibo	1907-03-08	Breda	Nederland	1990-01-01	Amsterdam	Nederland	male	tekenaar/leraar/hoogleraar/illustrator/docent/beeldend kunstenaar	Twintigste Eeuw	nl	secundair/jeugdliteratuur/nonfictie/suriname		hoogleraar/leraar/docent/beeldhouwer/illustrateur/tekenaar	2.0/2.0/2.0/4.0/4.0/4.0	2.0
F. Bender	https://www.dbnl.org/auteurs/auteur.php?id=bend012	bend012	Frans	Bender	F. Bender	1903-xx-xx	Amsterdam	Nederland	1998-xx-xx			male	leraar/docent/ambtenaar/hoogleraar	Twintigste Eeuw		nonfictie		hoogleraar/ambtenaar/leraar/docent	2.0/5.0/2.0/2.0	2.0
J.H. Huizinga	https://www.dbnl.org/auteurs/auteur.php?id=huiz031	huiz031	Jakob Herman	Huizinga	J.H. Huizinga/Jim Huizinga	1908-06-17	Groningen	Nederland	1994-03-01			male	redacteur/journalist	Twintigste Eeuw	nl	nonfictie		redacteur/journalist	2.0/2.0	2.0
H.H.J. de Leeuwe	https://www.dbnl.org/auteurs/auteur.php?id=leeu013	leeu013	Hans Heinz Joachim	de Leeuwe	H.H.J. de Leeuwe	1916-01-15	Essen	Duitsland	2006-10-02	Amersfoort	Nederland	male		Twintigste Eeuw		secundair				
Leo Herberghs	https://www.dbnl.org/auteurs/auteur.php?id=herb001	herb001	Leonardus Josephus Maria	Herberghs	Leo Herberghs	1924-07-21	Heerlen	Nederland	2019-05-11	Heerlen	Nederland	male	redacteur/journalist	20e/21e Eeuw	nl	jeugdliteratuur/limburg		redacteur/journalist	2.0/2.0	2.0
A.C. Niemeyer	https://www.dbnl.org/auteurs/auteur.php?id=niem012	niem012	Albert Christiaan	Niemeyer	A.C. Niemeyer	1915-xx-xx			2000-xx-xx			male		Twintigste Eeuw		secundair				
J. Petri	https://www.dbnl.org/auteurs/auteur.php?id=petr061	petr061	Jacob	Petri	J. Petri	18xx-xx-xx			19xx-xx-xx			male		Twintigste Eeuw		nonfictie				
Herman van den Bergh	https://www.dbnl.org/auteurs/auteur.php?id=berg043	berg043	Herman	van den Bergh	Herman van den Bergh	1897-01-30	Amsterdam	Nederland	1967-08-01	Rome	Italië	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Henri Wiessing	https://www.dbnl.org/auteurs/auteur.php?id=wies001	wies001	Henri Pierre Leonard	Wiessing	Henri Wiessing	1878-06-27	Vlissingen	Nederland	1961-03-16	Amsterdam	Nederland	male	redacteur/journalist	19e/20e Eeuw				redacteur/journalist	2.0/2.0	2.0
David Koning	https://www.dbnl.org/auteurs/auteur.php?id=koni080	koni080	David	Koning	David Koning	1920-10-13	Amsterdam	Nederland	1971-02-24	Laren	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
Adriaan van der Veen	https://www.dbnl.org/auteurs/auteur.php?id=veen001	veen001	Adriaan	van der Veen	Adriaan van der Veen	1916-12-16	Venray	Nederland	2003-03-07	Den Haag	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Harriët Laurey	https://www.dbnl.org/auteurs/auteur.php?id=laur005	laur005	Henriette Maria Sophia	Laurey	Harriët Laurey	1924-12-20	Eindhoven	Nederland	2004-07-25	Lage Mierde	Nederland	female		20e/21e Eeuw	nl	jeugdliteratuur/suriname				
J.H. Kernkamp	https://www.dbnl.org/auteurs/auteur.php?id=kern008	kern008	Johannes Herman	Kernkamp	J.H. Kernkamp	1904-08-15	Utrecht	Nederland	1980-10-10	Bilthoven	Nederland	male		Twintigste Eeuw		secundair				
G.H.M. van Huet	https://www.dbnl.org/auteurs/auteur.php?id=huet002	huet002	Gerardus Hendrikus Maria	van Huet	G.H.M. van Huet	1911-09-10	Rotterdam	Nederland	1975-12-27	Rotterdam	Nederland	male	advocaat/jurist/redacteur/journalist	Twintigste Eeuw	nl	secundair/nonfictie		advocaat/journalist/redacteur/jurist	2.0/2.0/2.0/2.0	2.0
Alfred Kossmann	https://www.dbnl.org/auteurs/auteur.php?id=koss001	koss001	Alfred	Kossmann	Alfred Kossmann	1922-01-31	Leiden	Nederland	1998-06-27	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair/jeugdliteratuur		redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
Anton Kloppers	https://www.dbnl.org/auteurs/auteur.php?id=klop001	klop001	Anton	Kloppers	Anton Kloppers	1919-01-31	Semarang	Indonesië	1974-12-23	Grächen	Zwitserland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Arthur Lehning	https://www.dbnl.org/auteurs/auteur.php?id=lehn001	lehn001	Paul Arthur	Lehning	Arthur Lehning/Arthur Müller Lehning	1899-10-23	Utrecht	Nederland	2000-01-01	Lys-St.-Georges	Frankrijk	male	archeoloog/historicus/officier/militair	Twintigste Eeuw	nl	secundair		militair/antropoloog/oudheidkundige/officier	9.0/2.0/2.0/1.0	1.0
P. Minderaa	https://www.dbnl.org/auteurs/auteur.php?id=mind002	mind002	Pieter	Minderaa	P. Minderaa/Peter van Maarn	1893-12-03	Amsterdam	Nederland	1968-05-27	Leiden	Nederland	male		Twintigste Eeuw	nl	secundair				
J.G. de Beus	https://www.dbnl.org/auteurs/auteur.php?id=beus009	beus009	Jacobus Gijsbertus	de Beus	Boisot/J.G. de Beus	1909-10-18			1991-06-23	Founex	Zwitserland	male	advocaat/diplomaat/jurist	Twintigste Eeuw		nonfictie		advocaat/diplomaat/jurist	2.0/1.0/2.0	1.0
A. Graafhuis	https://www.dbnl.org/auteurs/auteur.php?id=graa036	graa036	A.	Graafhuis	A. Graafhuis	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Jan Wit	https://www.dbnl.org/auteurs/auteur.php?id=wit_006	wit_006	Jan	Wit	Jan Wit	1914-07-07	Nijmegen	Nederland	1980-08-26	Groningen	Nederland	male	herv./leraar/geref. predikant	Twintigste Eeuw	nl			leraar/gereformeerd predikant	2.0/2.0	2.0
A. Alberts	https://www.dbnl.org/auteurs/auteur.php?id=albe009	albe009	A.	Alberts	A. Alberts	1911-08-23	Haarlem	Nederland	1995-12-16	Amsterdam	Nederland	male	ambtenaar/redacteur/journalist	Twintigste Eeuw	nl			ambtenaar/redacteur/journalist	5.0/2.0/2.0	2.0
J.W. Schulte Nordholt	https://www.dbnl.org/auteurs/auteur.php?id=schu016	schu016	Jan Willem	Schulte Nordholt	J.W. Schulte Nordholt/W.S. Noordhout	1920-09-12	Zwolle	Nederland	1995-08-16	Wassenaar	Nederland	male	leraar/archeoloog/hoogleraar/docent/historicus	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent/oudheidkundige/antropoloog	2.0/2.0/2.0/2.0/2.0	2.0
Bernard Vlekke	https://www.dbnl.org/auteurs/auteur.php?id=vlek002	vlek002	Bernard	Vlekke	Bernard Vlekke	1899-xx-xx	Oud en Nieuw Gastel		1970-07-03			male		Twintigste Eeuw		nonfictie				
W.H. Somermeyer	https://www.dbnl.org/auteurs/auteur.php?id=some033	some033	Willem Hendrik	Somermeyer	W.H. Somermeyer							male		Twintigste Eeuw		nonfictie				
E.W. Hofstee	https://www.dbnl.org/auteurs/auteur.php?id=hofs022	hofs022	Evert Willem	Hofstee	E.W. Hofstee	1909-xx-xx			1987-xx-xx			male		Twintigste Eeuw		nonfictie				
W.H.C. Tenhaeff	https://www.dbnl.org/auteurs/auteur.php?id=tenh002	tenh002	W.H.C.	Tenhaeff	W.H.C. Tenhaeff	18xx-xx-xx						male		Twintigste Eeuw	nl	nonfictie				
Leo Vroman	https://www.dbnl.org/auteurs/auteur.php?id=vrom001	vrom001	Leo	Vroman	Leo Vroman	1915-04-10	Gouda	Nederland	2014-02-22	Fort Worth	Verenigde Staten	male	illustrator/tekenaar/natuurwetenschapper/beeldend kunstenaar	Twintigste Eeuw	nl	jeugdliteratuur		tekenaar/natuurwetenschapper/illustrateur/beeldhouwer	4.0/2.0/4.0/4.0	2.0
L.P.J. Braat	https://www.dbnl.org/auteurs/auteur.php?id=braa012	braa012	Leendert Pieter Johan	Braat	L.P.J. Braat	1908-xx-xx	Arnhem	Nederland	1982-xx-xx			male	illustrator/schilder/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl			tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
Josepha Mendels	https://www.dbnl.org/auteurs/auteur.php?id=mend001	mend001	Josepha Judica	Mendels	Josepha Mendels	1902-07-18	Groningen	Nederland	1995-09-10	Eindhoven	Nederland	female	redacteur/journalist/toneelspeler	Twintigste Eeuw	nl	secundair		toneelspeler/redacteur/journalist	4.0/2.0/2.0	2.0
Jan Vermeulen	https://www.dbnl.org/auteurs/auteur.php?id=verm027	verm027	Jan	Vermeulen	Jan Vermeulen	1923-05-11	Leiden	Nederland	1985-04-10	Nijmegen	Nederland	male		Twintigste Eeuw	nl					
B.W. Schaper	https://www.dbnl.org/auteurs/auteur.php?id=scha062	scha062	Bertus Willem	Schaper	B.W. Schaper	1907-02-03	Voorburg	Nederland	1991-07-16	Oegstgeest	Nederland	male	leraar/archeoloog/hoogleraar/docent/historicus	Twintigste Eeuw	nl	secundair		hoogleraar/leraar/docent/oudheidkundige/antropoloog	2.0/2.0/2.0/2.0/2.0	2.0
Yge Foppema	https://www.dbnl.org/auteurs/auteur.php?id=fopp002	fopp002	Yge Herman	Foppema	Herman Schrijver/Yge Foppema	1901-09-06	Dedemsvaart	Nederland	1993-12-02	Oegstgeest	Nederland	male	onderwijzer (basisschool)/redacteur/journalist/vertaler	Twintigste Eeuw	nl			onderwijzer op een lagere school/redacteur/vertaler/journalist	4.0/2.0/4.0/2.0	2.0
Jacques den Haan	https://www.dbnl.org/auteurs/auteur.php?id=haan009	haan009	Izaak	den Haan	Jacques den Haan	1908-03-27	Rotterdam	Nederland	1982-11-22	Beekbergen	Nederland	male	boekhandelaar	Twintigste Eeuw	nl	secundair/nonfictie		boekhandelaar	4.0	4.0
C. Vermeer	https://www.dbnl.org/auteurs/auteur.php?id=verm109	verm109	C.	Vermeer	C. Vermeer	19xx-xx-xx						male		Twintigste Eeuw		jeugdliteratuur				
Cornelis Rijnsdorp	https://www.dbnl.org/auteurs/auteur.php?id=rijn010	rijn010	Cornelis	Rijnsdorp	Cornelis Rijnsdorp	1894-09-19	Delfshaven	Nederland	1982-02-12	Rotterdam	Nederland	male		Twintigste Eeuw	nl	secundair				
J.J. Beljon	https://www.dbnl.org/auteurs/auteur.php?id=belj001	belj001	Johannes Jacobus	Beljon	Bernard Majorick/J.J. Beljon/Joop Beljon	1922-01-11	Schoten	Nederland	2002-12-12	Oud-Beijerland	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	20e/21e Eeuw		nonfictie		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
Christiaan Terpstra	https://www.dbnl.org/auteurs/auteur.php?id=terp001	terp001	Christiaan	Terpstra	Christiaan Terpstra/Jan Christiaan Marius Kruizinga	1895-04-08	Den Helder	Nederland	1971-02-01	Vriezenveen	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl			advocaat/jurist	2.0/2.0	2.0
Michaël Deak	https://www.dbnl.org/auteurs/auteur.php?id=deak001	deak001	Michaël	Deak	Aernout van Leiden/Michaël Deak/Simon P. Kapteijn/Simon P. Kapteyn/Simon Petrus Kapteijn	1920-09-18	Alkmaar	Nederland				male	journalist/leraar/hoogleraar/redacteur/docent	Twintigste Eeuw	nl			redacteur/hoogleraar/leraar/docent/journalist	2.0/2.0/2.0/2.0/2.0	2.0
J.B. Charles	https://www.dbnl.org/auteurs/auteur.php?id=char004	char004	J.B.	Charles	J.B. Charles/Willem Hendrik Nagel	1910-08-25	Zwolle	Nederland	1983-07-29	Oegstgeest	Nederland	male	leraar/docent/hoogleraar	Twintigste Eeuw	nl	jeugdliteratuur/suriname		hoogleraar/leraar/docent	2.0/2.0/2.0	2.0
Ido Keekstra	https://www.dbnl.org/auteurs/auteur.php?id=keek001	keek001	Ido	Keekstra	Ido Keekstra	1909-11-27	Groningen	Nederland	1965-11-27	tussen Hoofddorp en Heemstede	Nederland	male		Twintigste Eeuw	nl	secundair				
Rie Cramer	https://www.dbnl.org/auteurs/auteur.php?id=cram006	cram006	Marie	Cramer	Marc Holman/Rie Cramer/Rie Cramerová/Rie Verkade-Cramer	1887-10-10	Sukabumi	Indonesië	1977-07-18	Laren	Nederland	female	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	jeugdliteratuur		tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
J.H. Plokker	https://www.dbnl.org/auteurs/auteur.php?id=plok002	plok002	Johannes Herbert	Plokker	J.H. Plokker	1907-10-03	Rotterdam	Nederland	1976-05-09	Utrecht	Nederland	male	illustrator/schilder/tekenaar/beeldend kunstenaar	Twintigste Eeuw	nl	nonfictie		tekenaar/illustrateur/beeldhouwer/schilder	4.0/4.0/4.0/9.0	4.0
Nico Rost	https://www.dbnl.org/auteurs/auteur.php?id=rost001	rost001	Nico	Rost	Abel Eppens/Nico Rost	1896-06-21	Groningen	Nederland	1967-02-01	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl			redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
August Defresne	https://www.dbnl.org/auteurs/auteur.php?id=defr001	defr001	Marie August Andre Antoine	Defresne	August Defresne	1893-11-06	Maastricht	Nederland	1961-04-02	Amsterdam	Nederland	male		Twintigste Eeuw	nl	limburg				
Bert Schierbeek	https://www.dbnl.org/auteurs/auteur.php?id=schi003	schi003	Bert	Schierbeek	Bert Schierbeek	1918-06-28	Glanerbrug	Nederland	1996-06-09	Amsterdam	Nederland	male		Twintigste Eeuw	nl	secundair				
J. Presser	https://www.dbnl.org/auteurs/auteur.php?id=pres003	pres003	Jacob	Presser	J. Presser/J. van Wageningen	1899-02-24	Amsterdam	Nederland	1970-04-30	Amsterdam	Nederland	male	archeoloog/historicus	Twintigste Eeuw	nl	secundair/nonfictie		antropoloog/oudheidkundige	2.0/2.0	2.0
Marga Minco	https://www.dbnl.org/auteurs/auteur.php?id=minc001	minc001	Marga	Minco	Marga Minco/Sara Menco	1920-03-31	Ginneken	Nederland		Amsterdam	Nederland	female		Twintigste Eeuw	nl	secundair				
Nico Wijnen	https://www.dbnl.org/auteurs/auteur.php?id=wijn011	wijn011	Nicolaas Wilhelmus	Wijnen	Nico Wijnen	1916-xx-xx	Den Haag	Nederland	1998-02-04			male		Twintigste Eeuw	nl					
Jan Meulenbelt	https://www.dbnl.org/auteurs/auteur.php?id=meul018	meul018	Jan	Meulenbelt	Jan Meulenbelt	1921-03-08	Amsterdam	Nederland	2011-11-04			male		20e/21e Eeuw	nl	secundair				
Abel J. Herzberg	https://www.dbnl.org/auteurs/auteur.php?id=herz001	herz001	Abel Jacob	Herzberg	Abel J. Herzberg	1893-09-17	Amsterdam	Nederland	1989-05-19	Amsterdam	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
E.A.A. Vermeer	https://www.dbnl.org/auteurs/auteur.php?id=verm097	verm097	Edith Adriana Amalie	Vermeer	E.A.A. Vermeer	19xx-xx-xx			1996-xx-xx			female	ps.ther./psychol/zielsverzorger	Twintigste Eeuw		nonfictie		psycholoog/zielmaker	2.0/7.0	2.0
P.J. Arisz	https://www.dbnl.org/auteurs/auteur.php?id=aris003	aris003	P.J.	Arisz	P.J. Arisz	19xx-xx-xx						male		Twintigste Eeuw		nonfictie				
Hubert van Herreweghen	https://www.dbnl.org/auteurs/auteur.php?id=herr003	herr003	Hubert Felix Arthur	van Herreweghen	Hubert van Herreweghen	1920-02-16	Pamel-Roosdaal	België (Vlaanderen)	2016-11-04	Dilbeek	België (Vlaanderen)	male		Twintigste Eeuw	nl					
Maarten Mourik	https://www.dbnl.org/auteurs/auteur.php?id=mour003	mour003	Maarten	Mourik	Maarten Mourik	1923-02-18	Streefkerk	Nederland	2002-09-30	Callantsoog	Nederland	male		20e/21e Eeuw						
K. Lekkerkerker	https://www.dbnl.org/auteurs/auteur.php?id=lekk001	lekk001	Cornelis Pieter	Lekkerkerker	K. Lekkerkerker	1910-11-15	Willeskop	Nederland	2006-08-28	Amsterdam	Nederland	male		Twintigste Eeuw		secundair				
Hafis	https://www.dbnl.org/auteurs/auteur.php?id=hafi001	hafi001		Hafis	Hafis/Šams al-Din Muhammad Hafiz	ca. 1320-xx-xx	Iran	Iran	ca. 1390-xx-xx			male								
C. Bittremieux	https://www.dbnl.org/auteurs/auteur.php?id=bitt002	bitt002	Clement	Bittremieux	C. Bittremieux	1920-01-11	Nieuwpoort	België (Vlaanderen)	2003-04-23	Herent	België (Vlaanderen)	male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
Adriaan Morriën	https://www.dbnl.org/auteurs/auteur.php?id=morr001	morr001	Adriaan	Morriën	Adriaan Morriën	1912-06-05	Velsen	Nederland	2002-06-07	Amsterdam	Nederland	male	vertaler	Twintigste Eeuw	nl	secundair		vertaler	4.0	4.0
Liane Bruylants	https://www.dbnl.org/auteurs/auteur.php?id=bruy003	bruy003	Jan Philip Leopold	Bruylants	Liane Bruylants	1921-01-06	Berchem	België (Vlaanderen)	2009-03-27	Veurne	België (Vlaanderen)	female	leraar/docent/schilder/hoogleraar	20e/21e Eeuw	nl			hoogleraar/leraar/docent/schilder	2.0/2.0/2.0/9.0	2.0
J.H. Schouten	https://www.dbnl.org/auteurs/auteur.php?id=scho360	scho360	Jan Hendrik	Schouten	J.H. Schouten	1893-xx-xx						male	leraar/docent/hoogleraar/vertaler	Twintigste Eeuw	nl	secundair		hoogleraar/vertaler/leraar/docent	2.0/4.0/2.0/2.0	2.0
Henk Romijn Meijer	https://www.dbnl.org/auteurs/auteur.php?id=romi004	romi004	Henk	Romijn Meijer	Henk Meijer/Henk Romijn Meijer	1929-08-09	Zwolle	Nederland	2008-02-23	Souillac	Frankrijk	male		20e/21e Eeuw	nl	secundair				
M. Vasalis	https://www.dbnl.org/auteurs/auteur.php?id=vasa001	vasa001	M.	Vasalis	M. Droogleever Fortuyn-Leenmans/M. Vasalis	1909-02-13	Den Haag	Nederland	1998-10-16	Roden	Nederland	female	apotheker/medicus	Twintigste Eeuw	nl			medicus/apotheker	2.0/2.0	2.0
J. Valentin	https://www.dbnl.org/auteurs/auteur.php?id=vale025	vale025	Johan Antonius Adrianus (Johan)	Valentin	J. Valentin/J.A.A. van Leent	1926-10-24	Den Haag	Nederland				male		Twintigste Eeuw		nonfictie				
W.F. Dankbaar	https://www.dbnl.org/auteurs/auteur.php?id=dank004	dank004	Willem Frederik	Dankbaar	W.F. Dankbaar	1907-09-13	Amsterdam	Nederland	2001-01-15	Oosterwolde	Nederland	male	leraar/archeoloog/hoogleraar/docent/historicus	Twintigste Eeuw				hoogleraar/leraar/docent/oudheidkundige/antropoloog	2.0/2.0/2.0/2.0/2.0	2.0
Magda Révész-Alexander	https://www.dbnl.org/auteurs/auteur.php?id=reve013	reve013	Magda	Révész-Alexander	Magda Révész-Alexander							female		Twintigste Eeuw		secundair				
Evert Werkman	https://www.dbnl.org/auteurs/auteur.php?id=werk015	werk015	Evert	Werkman	Evert Werkman/Joost	1915-xx-xx			1988-xx-xx			male		Twintigste Eeuw						
Rein Blijstra	https://www.dbnl.org/auteurs/auteur.php?id=blij001	blij001	Reinder	Blijstra	R. van Harlingen/Rein Blijstra	1901-08-29	Harlingen	Nederland	1975-08-10	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl			redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
Reinder P. Meijer	https://www.dbnl.org/auteurs/auteur.php?id=meij019	meij019	Reinder P.	Meijer	P.M. Reinders/Reinder P. Meijer	1926-01-02	Zwolle	Nederland	1993-09-29	Londen	Groot-Brittannië (en Noord-Ierland)	male	leraar/docent/hoogleraar/vertaler	Twintigste Eeuw		secundair		hoogleraar/vertaler/leraar/docent	2.0/4.0/2.0/2.0	2.0
Klaas Wiersma	https://www.dbnl.org/auteurs/auteur.php?id=wier048	wier048	Klaas	Wiersma	Klaas Wiersma	1916-xx-xx			1993-xx-xx			male		Twintigste Eeuw		nonfictie				
Elsa Frank	https://www.dbnl.org/auteurs/auteur.php?id=fran169	fran169	Elsa	Frank	Elsa Frank	19xx-xx-xx						female		Twintigste Eeuw						
C.B. van Haeringen	https://www.dbnl.org/auteurs/auteur.php?id=haer001	haer001	Coenraad Bernardus	van Haeringen	C.B. van Haeringen	1892-05-16	Werkendam	Nederland	1983-06-21	Utrecht	Nederland	male		Twintigste Eeuw	nl	taalkunde				
Louis Saalborn	https://www.dbnl.org/auteurs/auteur.php?id=saal002	saal002	Luis Alexander Abraham	Saalborn	Louis Alexander Abraham Zaalborn/Louis Saalborn	1891-06-13	Rotterdam	Nederland	1957-06-18	Amsterdam	Nederland	male	musicus/schilder/jongleur/minstreel/toneelspeler	Twintigste Eeuw	nl			musicus/speelman/toneelspeler/acrobaat/schilder	4.0/4.0/4.0/7.0/9.0	4.0
Ary den Hertog	https://www.dbnl.org/auteurs/auteur.php?id=hert002	hert002	Ary	den Hertog	Ary den Hertog	1889-10-07	Den Haag	Nederland	1958-12-17	Nijmegen	Nederland	male	officier/militair	Twintigste Eeuw	nl	jeugdliteratuur		militair/officier	9.0/1.0	1.0
Ben Stroman	https://www.dbnl.org/auteurs/auteur.php?id=stro004	stro004	Bernard Johan Hendrik	Stroman	Ben Stroman	1902-04-21	Rotterdam	Nederland	1985-04-18	Haarlem	Nederland	male		Twintigste Eeuw	nl	secundair				
Mary Dresselhuys	https://www.dbnl.org/auteurs/auteur.php?id=dres009	dres009	Maria Johanna	Dresselhuys	Mary Dresselhuys	1907-xx-xx			2004-xx-xx			female		Twintigste Eeuw						
Jan Willem Hofstra	https://www.dbnl.org/auteurs/auteur.php?id=hofs005	hofs005	Jan Willem	Hofstra	Jan Willem Hofstra	1907-11-13	Amsterdam	Nederland	1991-03-30	Amsterdam	Nederland	male		Twintigste Eeuw	nl					
B. Hunningher	https://www.dbnl.org/auteurs/auteur.php?id=hunn002	hunn002	Benjamin	Hunningher	B. Hunningher	1903-xx-xx	Vlissingen	Nederland	1991-xx-xx			male		Twintigste Eeuw		secundair				
Jan Walravens	https://www.dbnl.org/auteurs/auteur.php?id=walr007	walr007	Frans Johannes	Walravens	Jan Walravens	1920-08-07	Anderlecht	België (Brussel)	1965-06-25	Ukkel	België (Brussel)	male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
W.P. Pos	https://www.dbnl.org/auteurs/auteur.php?id=pos_005	pos_005	W.P.	Pos	W.P. Pos	1912-10-26	Amsterdam	Nederland	1977-01-04	Amsterdam	Nederland	male		Twintigste Eeuw	nl					
Luisa Treves	https://www.dbnl.org/auteurs/auteur.php?id=trev001	trev001	Luisa	Treves	Luisa Treves/Margaretha Roselaar	1919-11-15	Amsterdam	Nederland	2015-10-21			female	toneelspeler	Twintigste Eeuw	nl			toneelspeler	4.0	4.0
E. Elias	https://www.dbnl.org/auteurs/auteur.php?id=elia001	elia001	Eduard Marinus (Eduard)	Elias	E. Elias/Flaneur/Hendrik Hagenaar/Praetvaer	1900-09-12	Amsterdam	Nederland	1967-01-14	Delft	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl	nonfictie		redacteur/journalist	2.0/2.0	2.0
Wim Vesseur	https://www.dbnl.org/auteurs/auteur.php?id=vess005	vess005	Wim	Vesseur	Wim Vesseur							male		Twintigste Eeuw		secundair				
A. Pitlo	https://www.dbnl.org/auteurs/auteur.php?id=pitl002	pitl002	Adriaan	Pitlo	A. Pitlo	1901-09-23	Arnhem	Nederland	1987-03-23	Overveen	Nederland	male	advocaat/jurist	Twintigste Eeuw	nl	secundair		advocaat/jurist	2.0/2.0	2.0
Luc Lutz	https://www.dbnl.org/auteurs/auteur.php?id=lutz007	lutz007	Lucas Jacobus	Lutz	Luc Lutz	1924-11-17	Delft	Nederland	2001-11-16	Rotterdam	Nederland	male	toneelspeler	Twintigste Eeuw		secundair		toneelspeler	4.0	4.0
G.A.M. Eickholt	https://www.dbnl.org/auteurs/auteur.php?id=eick006	eick006	G.A.M.	Eickholt	G.A.M. Eickholt	19xx-xx-xx						male		20e/21e Eeuw		secundair				
Tjalie Robinson	https://www.dbnl.org/auteurs/auteur.php?id=robi009	robi009	Tjalie	Robinson	J.J.Th. Boon/Jan Boon/Tjalie Robinson/Vincent Mahieu	1911-01-10	Nijmegen	Nederland	1974-04-22	Den Haag	Nederland	male	redacteur/journalist	Twintigste Eeuw	nl			redacteur/journalist	2.0/2.0	2.0
Léon de Greiff	https://www.dbnl.org/auteurs/auteur.php?id=grei009	grei009	Léon	de Greiff	Francisco de Asís León Bogislao de Greiff Haeusler/Gaspar de la Nuit/Léon de Greiff	1895-07-22	Medellín	Colombia	1976-07-11	Bogotá	Colombia	male		Twintigste Eeuw	sp	buitenland				
Elizabeth da Costa Gomez	https://www.dbnl.org/auteurs/auteur.php?id=cost057	cost057	Elizabeth	da Costa Gomez	Elizabeth da Costa Gomez	19xx-xx-xx						female	vertaler	Twintigste Eeuw		nonfictie/buitenland		vertaler	4.0	4.0
J.J.A. Mooij	https://www.dbnl.org/auteurs/auteur.php?id=mooi002	mooi002	Jan Johann Albinn	Mooij	Eduard Ternoo/J.J.A. Mooij	1929-02-18	Gramsbergen	Nederland				male	wiskundige/filosoof/natuurwetenschapper	20e/21e Eeuw	nl	secundair		natuurwetenschapper/doctor in de filosofie/doctor in de wiskunde	2.0/2.0/2.0	2.0
A. Teeuw	https://www.dbnl.org/auteurs/auteur.php?id=teeu003	teeu003	Andries (Hans)	Teeuw	A. Teeuw	1921-08-12	Gorinchem	Nederland	2012-05-18			male	letterkundige (NIET-neerl.)	Twintigste Eeuw	nl	secundair		letterkundige	2.0	2.0
C.L.W. Fock	https://www.dbnl.org/auteurs/auteur.php?id=fock036	fock036	Cornelis Laurens Willem (Cees)	Fock	C.L.W. Fock	1905-01-27	Den Helder	Nederland	1999-07-09	Den Haag	Nederland	male	staatsman/ambtenaar/bestuurder/politicus	Twintigste Eeuw		nonfictie		bestuurder/ambtman/ambtenaar	1.0/1.0/5.0	1.0
